id_empleado,nombre_completo,fecha_inicio,fecha_renuncia,genero,edad,id_puesto_laboral,discapacidad,etnia
1,"Brown, Emily",2022-10-13,,mujer,27,5,0,blanco
2,"Jackson, Jamal",1990-02-04,,varon,42,2,0,afrodescendiente
3,"Solís, Paca",2006-03-29,,mujer,62,8,0,latino
4,"Brown, John",1994-10-08,,mujer,67,7,0,blanco
5,"Tanaka, Hiro",1989-07-07,,varon,49,1,0,asiatico
6,"Jackson, Jamal",1994-03-17,,mujer,19,15,0,afrodescendiente
7,"Sharma, Arjun",1982-08-02,2010-06-16,varon,22,6,0,indio
8,"Jackson, Jamal",2006-01-13,,otros,44,8,0,afrodescendiente
9,"Tanaka, Mei",1985-06-05,,mujer,58,19,0,asiatico
10,"Smith, John",2013-06-07,,otros,47,13,0,blanco
11,"Washington, Aisha",2012-02-25,,varon,33,2,0,afrodescendiente
12,"Arce, Cristina",1992-09-03,2013-09-10,mujer,29,16,0,latino
13,"Washington, Aisha",2010-06-30,,varon,28,16,0,afrodescendiente
14,"Patel, Rudra",2002-07-12,2005-05-20,mujer,48,4,0,indio
15,"Sharma, Arjun",2010-10-12,,varon,44,16,0,indio
16,"Tanaka, Mei",2001-10-04,,otros,31,6,0,asiatico
17,"Washington, Jamal",2019-11-26,,mujer,20,5,0,afrodescendiente
18,"Tanaka, Mei",2012-08-20,2024-12-27,varon,30,20,0,asiatico
19,"Jackson, Jamal",1993-08-18,,varon,36,1,0,afrodescendiente
20,"Jackson, Aisha",2011-07-09,2020-10-20,mujer,22,19,0,afrodescendiente
21,"Washington, Aisha",2000-04-26,,otros,50,9,0,afrodescendiente
22,"Brown, John",2007-04-09,,otros,23,1,0,blanco
23,"Aragón, Jose Francisco",2002-06-08,,otros,48,4,0,latino
24,"Tanaka, Mei",2000-09-20,,mujer,40,1,0,asiatico
25,"Washington, Jamal",2002-05-20,,mujer,40,11,0,afrodescendiente
26,"Patel, Rudra",2017-03-16,2025-01-25,varon,68,6,0,indio
27,"Brown, Emily",1983-10-06,1987-04-29,otros,69,13,0,blanco
28,"Washington, Jamal",1993-12-09,,otros,22,16,0,afrodescendiente
29,"Li, Mei",2002-08-16,,varon,59,13,0,asiatico
30,"Sharma, Rudra",2012-02-17,,mujer,44,14,0,indio
31,"Brown, Michael",1994-01-07,,mujer,51,11,0,blanco
32,"Tanaka, Mei",1992-06-19,,varon,60,8,0,asiatico
33,"Li, Mei",1993-03-26,,varon,50,16,0,asiatico
34,"Oliva, Águeda",1985-03-30,,otros,44,20,0,latino
35,"Brown, Michael",2012-06-04,,otros,45,1,0,blanco
36,"Brown, John",1987-06-06,1989-06-10,mujer,30,19,0,blanco
37,"Jackson, Aisha",2014-12-04,,varon,26,14,0,afrodescendiente
38,"Pont, Renata",1996-12-07,2017-05-18,otros,68,1,0,latino
39,"Jackson, Jamal",1993-07-12,2024-08-30,otros,51,10,0,afrodescendiente
40,"Washington, Jamal",2000-09-26,,mujer,50,12,0,afrodescendiente
41,"Patel, Arjun",1997-05-10,,varon,47,11,0,indio
42,"Brown, Michael",2021-11-10,,mujer,49,7,0,blanco
43,"Papadopoulos, Nikos",2004-08-15,,varon,54,13,0,griego
44,"Tanaka, Hiro",1995-02-12,1998-08-21,varon,41,8,0,asiatico
45,"Sharma, Arjun",1981-11-06,,mujer,54,10,0,indio
46,"Brown, John",2019-02-01,2020-10-08,mujer,50,13,0,blanco
47,"Sharma, Arjun",2020-11-08,2022-08-26,mujer,42,15,0,indio
48,"Jackson, Jamal",2018-06-05,,varon,48,20,0,afrodescendiente
49,"Papadopoulos, Nikos",1997-05-23,,mujer,67,13,0,griego
50,"Smith, Michael",2001-01-14,,mujer,35,17,0,blanco
51,"Li, Mei",1986-10-25,,otros,39,20,0,asiatico
52,"Smith, John",1999-05-11,,mujer,53,1,0,blanco
53,"Papadopoulos, Nikos",2020-09-01,,varon,20,1,0,griego
54,"Brown, Emily",2007-09-30,,varon,37,12,0,blanco
55,"Pombo, Ciríaco",1985-06-02,,varon,52,19,0,latino
56,"Washington, Aisha",2017-10-28,2020-03-05,otros,43,1,0,afrodescendiente
57,"Sharma, Rudra",2014-11-06,,varon,48,1,0,indio
58,"Brown, Emily",2000-04-10,2011-02-26,otros,24,14,0,blanco
59,"Patel, Arjun",2019-02-14,,mujer,37,8,0,indio
60,"Papadopoulos, Sofia",2023-02-24,2024-03-30,mujer,48,5,0,griego
61,"Washington, Jamal",2018-02-02,,mujer,28,11,0,afrodescendiente
62,"Brown, Emily",2022-07-15,2022-12-15,mujer,36,12,0,blanco
63,"Papadopoulos, Nikos",1986-12-10,,varon,48,7,0,griego
64,"Benavente, Gerardo",2001-01-17,2013-11-23,varon,51,7,0,latino
65,"Li, Hiro",2015-11-24,,varon,33,16,0,asiatico
66,"Moles, Odalis",1986-09-13,,otros,38,10,0,latino
67,"Brown, Michael",2007-05-14,,varon,65,17,0,blanco
68,"Li, Hiro",1984-08-11,,mujer,51,15,0,asiatico
69,"Papadopoulos, Nikos",1985-09-17,,otros,51,5,0,griego
70,"Washington, Jamal",2008-04-26,2023-02-22,otros,68,7,0,afrodescendiente
71,"Smith, Michael",2014-12-25,,varon,26,10,1,blanco
72,"Diego, Cruz",1991-08-17,,varon,29,11,0,latino
73,"Washington, Aisha",1985-11-18,1993-05-21,varon,65,4,0,afrodescendiente
74,"Smith, Emily",2023-07-29,,mujer,60,1,0,blanco
75,"Patel, Rudra",2024-11-15,,varon,57,13,0,indio
76,"Washington, Aisha",2018-05-20,2024-03-04,mujer,19,6,0,afrodescendiente
77,"Smith, Michael",2009-10-29,,otros,41,20,0,blanco
78,"Papadopoulos, Sofia",2013-10-16,,varon,54,11,0,griego
79,"Papadopoulos, Sofia",2005-12-11,2021-06-27,mujer,18,16,0,griego
80,"Teruel, José Manuel",2019-03-20,,varon,32,15,0,latino
81,"Smith, John",1995-09-09,,mujer,62,8,0,blanco
82,"Washington, Jamal",2001-01-11,2012-12-14,mujer,44,9,0,afrodescendiente
83,"Brown, John",2019-12-03,,varon,50,7,0,blanco
84,"Washington, Jamal",2021-04-02,,mujer,35,13,0,afrodescendiente
85,"Papadopoulos, Sofia",2014-04-14,,otros,37,7,0,griego
86,"Papadopoulos, Nikos",1981-10-19,,otros,47,10,0,griego
87,"Li, Hiro",2007-12-26,,varon,54,2,0,asiatico
88,"Li, Hiro",2008-07-05,,varon,50,6,0,asiatico
89,"Li, Hiro",2018-08-28,2023-02-03,otros,23,15,0,asiatico
90,"Uría, Manuela",2009-01-19,,mujer,40,5,0,latino
91,"Jackson, Aisha",2022-01-03,,otros,53,15,0,afrodescendiente
92,"Cámara, Alicia",2013-01-14,2021-09-22,mujer,56,10,0,latino
93,"Rojas, Otilia",1981-06-19,,varon,27,3,0,latino
94,"Li, Mei",1998-04-09,,varon,27,3,0,asiatico
95,"Guzmán, Mario",2017-10-12,,varon,37,15,0,latino
96,"Papadopoulos, Sofia",2012-12-29,,otros,45,2,0,griego
97,"Brown, Emily",2015-01-12,,varon,38,8,0,blanco
98,"Patel, Rudra",2021-10-19,,otros,41,6,0,indio
99,"Washington, Jamal",1999-06-09,2012-04-04,varon,38,4,0,afrodescendiente
100,"Mármol, Lino",1989-04-08,,otros,65,6,0,latino
101,"Papadopoulos, Sofia",2023-07-14,,mujer,36,16,0,griego
102,"Li, Hiro",1991-04-12,2018-02-28,mujer,34,15,0,asiatico
103,"Patel, Rudra",1992-03-01,,otros,22,7,0,indio
104,"Smith, John",2000-09-26,,otros,54,2,0,blanco
105,"Patel, Rudra",1988-01-09,2025-02-26,otros,64,7,0,indio
106,"Comas, Alejandro",1986-01-07,,varon,19,7,0,latino
107,"Brown, John",1982-03-01,,otros,55,11,0,blanco
108,"Sharma, Rudra",1983-06-24,2003-08-26,varon,30,2,0,indio
109,"Li, Hiro",2018-10-09,,otros,23,1,0,asiatico
110,"Barreda, Román",1991-11-02,2015-08-28,otros,19,12,0,latino
111,"León, Remedios",2014-01-23,,varon,33,16,0,latino
112,"Tanaka, Hiro",2016-09-19,,otros,41,19,0,asiatico
113,"Sharma, Rudra",2001-02-16,,mujer,62,9,0,indio
114,"Patel, Arjun",2014-12-29,,otros,50,1,0,indio
115,"Smith, Emily",1992-05-05,,mujer,37,5,0,blanco
116,"Brown, Michael",1995-08-31,,varon,42,20,0,blanco
117,"Tanaka, Hiro",2022-02-09,,varon,47,16,0,asiatico
118,"Patel, Arjun",1987-11-10,1995-10-23,otros,62,15,0,indio
119,"Tanaka, Hiro",2005-03-26,,varon,33,11,0,asiatico
120,"Smith, John",2004-11-20,,mujer,19,9,0,blanco
121,"Papadopoulos, Nikos",2004-07-26,2006-07-22,otros,44,7,0,griego
122,"Patel, Arjun",2004-11-06,,varon,61,10,0,indio
123,"Papadopoulos, Nikos",2007-01-20,2015-08-10,otros,43,7,0,griego
124,"Benitez, Quirino",1989-02-09,,varon,30,11,0,latino
125,"Tanaka, Hiro",1996-10-04,,otros,64,15,0,asiatico
126,"Washington, Aisha",1989-09-24,,mujer,40,8,0,afrodescendiente
127,"Rebollo, Íñigo",1995-10-27,,otros,18,5,0,latino
128,"Rosell, Salvador",2001-03-22,2010-09-05,mujer,55,8,0,latino
129,"Sharma, Rudra",1999-02-20,,varon,52,8,0,indio
130,"Washington, Aisha",1988-09-15,,varon,63,18,0,afrodescendiente
131,"Papadopoulos, Sofia",1997-12-22,,otros,48,1,0,griego
132,"Tanaka, Hiro",2022-05-02,,varon,30,7,0,asiatico
133,"Washington, Aisha",1985-08-20,1995-07-14,mujer,51,10,0,afrodescendiente
134,"Papadopoulos, Nikos",1988-05-26,,otros,63,12,0,griego
135,"Jackson, Jamal",2023-05-26,,varon,58,1,1,afrodescendiente
136,"Patel, Arjun",2003-05-11,,otros,30,4,0,indio
137,"Papadopoulos, Sofia",2017-11-24,2022-01-15,mujer,23,1,0,griego
138,"Jackson, Aisha",2002-10-08,2009-12-20,varon,62,8,0,afrodescendiente
139,"Jackson, Aisha",1981-06-05,1996-02-16,varon,55,10,0,afrodescendiente
140,"Tanaka, Hiro",2003-12-06,,varon,43,14,0,asiatico
141,"Brown, John",2015-03-15,,otros,33,9,0,blanco
142,"Washington, Jamal",2021-02-05,,otros,65,7,0,afrodescendiente
143,"Tanaka, Hiro",1980-12-25,,otros,55,10,0,asiatico
144,"Tanaka, Hiro",2012-12-05,,otros,38,12,0,asiatico
145,"Papadopoulos, Sofia",2017-10-14,,varon,45,8,0,griego
146,"Papadopoulos, Nikos",2000-01-17,2001-03-22,otros,63,16,0,griego
147,"Brown, John",1991-04-13,,mujer,24,16,0,blanco
148,"Sharma, Rudra",1983-01-30,,otros,68,19,0,indio
149,"Jackson, Jamal",1981-07-01,,mujer,30,11,0,afrodescendiente
150,"Jackson, Jamal",1991-04-06,1998-11-13,otros,56,18,0,afrodescendiente
151,"Sharma, Rudra",2005-02-27,,varon,45,6,0,indio
152,"Jackson, Aisha",1985-05-05,,otros,51,17,0,afrodescendiente
153,"Patel, Rudra",1998-11-22,2004-02-08,otros,54,16,0,indio
154,"Brown, Michael",1986-04-27,2019-07-30,otros,24,15,0,blanco
155,"Carbajo, Agustín",2023-03-02,,otros,49,19,0,latino
156,"Sharma, Arjun",2021-11-02,,mujer,38,19,0,indio
157,"Papadopoulos, Sofia",2022-11-02,2024-05-06,varon,52,2,0,griego
158,"Washington, Jamal",2017-08-01,,otros,58,18,0,afrodescendiente
159,"Jackson, Jamal",2019-12-06,2023-06-15,mujer,19,8,0,afrodescendiente
160,"Papadopoulos, Nikos",1986-01-08,,mujer,23,6,0,griego
161,"Papadopoulos, Nikos",2023-07-01,,otros,54,15,0,griego
162,"Casares, Serafina",1984-04-17,2021-02-26,mujer,67,1,0,latino
163,"Papadopoulos, Sofia",2020-08-03,,varon,40,6,0,griego
164,"Li, Hiro",2015-10-26,,otros,42,6,0,asiatico
165,"Salvà, Valentín",1993-04-03,,otros,69,12,0,latino
166,"Sharma, Rudra",2013-02-10,,otros,45,4,0,indio
167,"Washington, Aisha",1981-10-27,2011-04-06,varon,29,12,0,afrodescendiente
168,"Papadopoulos, Sofia",1998-11-16,2001-02-22,mujer,48,4,0,griego
169,"Li, Mei",2001-02-19,2011-07-07,otros,29,19,0,asiatico
170,"Washington, Aisha",1981-04-05,2006-05-13,varon,39,5,0,afrodescendiente
171,"Ferrándiz, Elisa",1998-10-05,,mujer,50,8,0,latino
172,"Tanaka, Hiro",1999-05-04,,varon,43,16,0,asiatico
173,"Patel, Rudra",1988-03-02,2005-10-29,mujer,19,15,0,indio
174,"Tanaka, Hiro",2020-03-10,,otros,42,19,0,asiatico
175,"Washington, Jamal",2011-05-07,,varon,58,10,0,afrodescendiente
176,"Brown, Emily",2020-05-20,2022-06-27,mujer,60,10,0,blanco
177,"Brown, John",2010-07-01,2022-08-25,otros,64,10,0,blanco
178,"Sharma, Rudra",1990-04-16,,otros,56,17,0,indio
179,"Patel, Arjun",1995-12-13,,varon,54,1,0,indio
180,"Smith, Michael",2004-04-22,,mujer,47,10,0,blanco
181,"Li, Mei",1990-07-19,,mujer,59,12,0,asiatico
182,"Ferrera, Raquel",1996-05-04,,mujer,63,18,0,latino
183,"Tanaka, Mei",2014-03-11,2019-02-19,varon,65,2,0,asiatico
184,"Smith, Emily",1992-12-14,,otros,30,15,0,blanco
185,"Li, Mei",1992-08-15,,otros,45,2,0,asiatico
186,"Papadopoulos, Nikos",1982-08-10,1986-07-04,mujer,36,16,0,griego
187,"Papadopoulos, Nikos",2023-11-21,,otros,38,13,0,griego
188,"Papadopoulos, Sofia",1985-03-17,,otros,38,3,0,griego
189,"Reig, Magdalena",2006-10-10,2018-12-09,mujer,66,10,0,latino
190,"Brown, Michael",1988-06-19,2018-05-24,mujer,40,16,0,blanco
191,"Li, Hiro",2018-03-10,2018-05-17,otros,69,19,0,asiatico
192,"Cañas, Cesar",1982-04-08,2023-03-04,varon,59,8,0,latino
193,"Asenjo, Toni",1982-06-15,1990-08-19,mujer,50,4,0,latino
194,"Alemán, Laura",1985-06-20,,otros,36,6,0,latino
195,"Papadopoulos, Sofia",1994-05-20,,varon,54,11,0,griego
196,"Brown, John",1992-08-18,2003-07-08,otros,23,3,0,blanco
197,"Tanaka, Hiro",2014-07-29,,mujer,31,12,0,asiatico
198,"Jackson, Jamal",2007-07-27,,mujer,58,14,0,afrodescendiente
199,"Papadopoulos, Nikos",1995-04-01,,mujer,25,7,0,griego
200,"Patel, Arjun",1997-03-30,,mujer,42,19,0,indio
201,"Washington, Aisha",1995-06-10,,mujer,69,10,0,afrodescendiente
202,"Washington, Jamal",2008-01-17,2021-07-02,varon,53,8,0,afrodescendiente
203,"Brown, Michael",1984-04-17,,otros,34,16,0,blanco
204,"Patel, Rudra",2003-02-28,,mujer,34,14,0,indio
205,"Papadopoulos, Nikos",1994-05-12,,otros,43,15,0,griego
206,"Papadopoulos, Nikos",2005-02-12,,mujer,34,12,0,griego
207,"Brown, Michael",1983-11-09,,varon,45,7,0,blanco
208,"Jackson, Aisha",1989-05-31,,varon,47,7,0,afrodescendiente
209,"Ayuso, Azahar",1982-01-28,,mujer,18,5,0,latino
210,"Mir, José Luis",2010-07-11,2010-07-23,varon,36,16,0,latino
211,"Papadopoulos, Sofia",2017-11-08,2023-05-29,mujer,21,11,0,griego
212,"Sharma, Rudra",2022-05-07,2025-01-15,varon,25,6,0,indio
213,"Patel, Rudra",2019-01-24,,mujer,24,5,0,indio
214,"Washington, Jamal",2002-08-31,,mujer,31,1,0,afrodescendiente
215,"Papadopoulos, Sofia",1989-02-19,,otros,30,9,0,griego
216,"Smith, Emily",2001-04-02,,otros,54,2,0,blanco
217,"Papadopoulos, Nikos",1988-10-27,,mujer,26,2,0,griego
218,"Papadopoulos, Sofia",1995-09-23,,mujer,37,17,0,griego
219,"Plaza, Angelina",1982-08-12,2008-11-30,mujer,59,11,0,latino
220,"Jackson, Aisha",1993-02-05,,otros,23,17,0,afrodescendiente
